,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00-00,0.484,,0.0,0.0,0.0,0.0,0.0
01-00,0.0,,0.0,0.0,0.0,0.0,
02-00,0.0,,0.0,0.0,0.0,0.0,
03-00,0.0,,0.0,0.0,0.0,0.0,
04-00,0.0,,0.0,0.0,0.0,0.0,
05-00,0.0,,0.0,0.0,0.0,0.0,
06-00,0.0,,0.0,0.0,0.0,0.0,0.0
07-00,0.0,,0.647,0.0,0.0,0.0,0.0
08-00,0.0,,0.385,0.0,0.0,0.588,0.0
09-00,0.0,,0.0,0.0,0.0,1.0,0.0
10-00,0.0,,0.478,0.397,0.0,0.844,0.181
11-00,0.385,,0.466,0.378,0.385,0.486,0.357
12-00,0.199,,0.2,0.0,0.341,0.539,0.517
13-00,0.255,,0.277,0.0,0.506,0.5,0.0
14-00,0.0,,0.0,0.0,0.248,0.474,0.0
15-00,0.0,,0.0,0.0,0.032,0.403,0.399
16-00,0.696,,0.184,0.681,0.035,0.185,0.345
17-00,0.0,,0.09,0.85,0.695,,0.0
18-00,0.181,,0.0,0.787,0.423,0.328,0.0
19-00,0.0,,0.0,0.0,0.321,,0.0
20-00,0.0,0.0,0.0,0.0,0.427,,0.0
21-00,,0.0,0.0,0.064,0.407,,0.0
22-00,,0.202,0.0,0.135,0.508,,0.0
23-00,,0.0,0.0,0.0,0.194,0.0,0.0
