Mon,Tue,Wed,Thu,Fri,Sat,Sun
3.31,0.58,1.37,0.0,3.4,0.0,1.82
1.84,0.0,0.0,0.0,0.0,0.0,2.56
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.84
0.0,0.0,0.0,0.0,0.06,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.16,0.0,0.0,0.0
0.52,0.52,3.39,0.34,0.43,0.0,0.0
1.1,3.42,3.54,0.0,2.19,0.0,0.0
1.25,0.0,1.96,0.59,0.91,1.98,0.0
0.0,0.0,0.72,0.0,0.61,1.28,1.3
1.07,0.0,0.0,0.0,0.85,0.71,0.88
0.0,0.13,0.0,0.0,1.69,1.74,1.94
0.0,1.03,0.0,0.0,0.67,0.0,0.0
0.0,0.0,0.0,0.0,0.69,0.0,0.0
0.0,0.0,0.0,0.0,1.01,0.0,0.99
3.14,2.49,3.65,5.0,3.42,1.99,0.85
0.8,1.05,2.01,3.15,3.38,2.04,0.0
0.98,0.0,2.06,2.91,0.54,0.0,0.0
2.59,0.0,0.0,0.0,0.6,0.0,0.27
2.12,0.26,1.36,0.0,1.08,0.0,0.0
2.78,0.7,0.0,0.0,0.85,0.0,0.0
0.0,2.2,0.0,0.5,2.73,0.0,0.0
0.0,0.85,0.0,0.0,1.46,0.0,0.0
